王一博	2189
徐百卉	2188
宋祖英	2186
祖峰	2185
刘若英	2171
郭兰英	2163
谭晶	2141
朴树	2136
李谷一	2129
袁咏仪	2123
李海娜	2117
崔始源	2115
黄忆慈	2114
韩孝周	2109
路晨	2104
金喜善	2104
梁宏达	2095
段丽阳	2095
刘欢	2089
徐峥	2085
欧豪	2085
李莎旻子	2084
孔孝真	2082
罗大佑	2078
于文华	2068
李克勤	2068
柳俊烈	2063
俞灏明	2055
俞承豪	2054
秦岚	2053
尼古拉斯·凯奇	2052
黄海波	2050
杨怡	2047
罗云熙	2046
阮经天	2044
周华健	2043
周深	2040
奥黛丽·赫本	2031
王诗龄	2029
斓曦	2026
夏雨	2022
宣萱	2022
木村拓哉	2019
孙燕姿	2003
苏见信	1988
李玉刚	1986
芙蓉姐姐	1977
陈楚河	1976
孙怡	1971
田震	1969
山口百惠	1962
张艺谋	1962
于谦	1960
莫寒	1957
陈数	1954
张译	1953
李圣经	1945
冷漠	1942
韩栋	1922
左溢	1917
黄婷婷	1914
周慧敏	1913
范晓萱	1912
蔡健雅	1906
金钟大	1906
婉娜拉·宋提查	1904
李玟	1895
郝蕾	1889
沙溢	1887
容祖儿	1875
酒井法子	1865
金泰亨	1860
朱雨辰	1859
王宁	1855
古川雄辉	1854
权侑莉	1854
陈柏霖	1850
杜汶泽	1849
金城武	1847
黄贯中	1844
金珉锡	1835
钟欣潼	1835
陈粒	1820
刘谦	1818
刘楚恬	1814
苏运莹	1814
张宇	1813
张延	1808
李彩桦	1806
卓文萱	1803
未来穗香	1800
陈慧娴	1798
印小天	1788
李若彤	1781
休·杰克曼	1778
曹骏	1768
刘畅	1765
刘亚仁	1758
丁一宇	1757
摩根·弗里曼	1749
飞轮海	1748
金俊勉	1745
汤姆·希德勒斯顿	1742
陈世妍	1738
李茂	1736
徐悦	1731
彭丹	1729
付辛博	1724
朴春	1723
曹格	1714
周涛	1707
张鲁一	1707
李艺彤	1705
李婷宜	1703
季冠霖	1700
李治廷	1699
陈德容	1698
孙悦	1697
杨思敏	1696
杨坤	1695
贺军翔	1694
威尔·史密斯	1691
周子瑜	1690
曾志伟	1688
苏菲·玛索	1686
陈红	1684
东方神起	1681
陈法拉	1680
林宥嘉	1677
梁小冰	1677
贾斯丁比伯	1677
李咏	1676
崔智友	1674
薛凯琪	1669
刘雪华	1668
魏大勋	1660
张庭	1659
朱主爱	1650
陈宝莲	1641
苗圃	1636
何韵诗	1632
潘虹	1629
陆星材	1624
巫启贤	1607
张语格	1606
文彩元	1606
朱梓骁	1602
于波	1595
胡可	1592
梁洛施	1588
金高银	1583
梅根·福克斯	1576
刘芊含	1574
莫妮卡·贝鲁奇	1570
高梓淇	1570
陈慧琳	1563
蔡少芬	1559
毛阿敏	1558
基特·哈灵顿	1556
董文华	1552
藤原纪香	1551
大卫·贝克汉姆	1547
阿米尔·汗	1541
高雅拉	1541
袁立	1539
林志炫	1528
郑钧	1522
伊一	1515
汤姆·克鲁斯	1513
陈德修	1508
陈德修	1508
深田恭子	1505
徐浩	1502
孙坚	1497
段宜恩	1496
李居丽	1491
李居麗	1491
陈思成	1489
周渝民	1488
林熙蕾	1481
金素恩	1481
罗伯特·帕丁森	1480
姜素拉	1479
米露	1474
李宝英	1469
朴宰范	1466
范世錡	1465
关咏荷	1462
郑合惠子	1456
艾丽·范宁	1455
池城	1453
金希澈	1453
张智尧	1452
玛丽莲·梦露	1450
林子闳	1449
郑智化	1447
陈若轩	1445
陈奕	1441
吴君如	1433
山下智久	1431
田正国	1431
裴涩琪	1430
萧蔷	1428
谢安琪	1421
阿宝	1419
蔡明	1418
阿悄	1415
余少群	1412
任家萱	1411
柳云龙	1411
吴建豪	1410
张雨剑	1409
蕾哈娜	1409
房祖名	1405
李胜基	1397
谢楠	1397
玉泽演	1395
郭珍霓	1395
吴宗宪	1394
小虎队	1389
朴初珑	1388
曹璐	1382
张耀扬	1380
约翰尼·德普	1380
杰西·艾森伯格	1378
金珉硕	1376
韦唯	1374
邱胜翊	1373
陶昕然	1373
李英爱	1370
胡静	1370
腾格尔	1364
朱玲玲	1353
涂黎曼	1352
马雅舒	1352
吴卓羲	1349
朴山多拉	1348
李娜	1344
刘诺一	1343
板野友美	1341
刘青云	1340
宋妍霏	1340
阿诺德·施瓦辛格	1340
光良	1338
尹均相	1334
何家劲	1321
李倩	1318
程愫	1314
陈好	1309
齐秦	1305
金泰焕	1301
蒋雯丽	1290
具惠善	1289
陈晓东	1282
林忆莲	1278
安妮·海瑟薇	1277
黄绮珊	1277
何晟铭	1276
张晓龙	1274
李馨巧	1271
罗温·艾金森	1270
王睿卓	1269
陈文媛	1266
龙俊亨	1265
尹正	1264
古巨基	1260
古巨基	1260
姚鑫	1256
陈羽凡	1251
郭晋安	1250
费沁源	1248
柴碧云	1245
陈志朋	1245
郑嘉颖	1237
白灵	1232
马三立	1225
刘惜君	1220
长泽雅美	1220
伊娃·格林	1218
张瑞希	1218
娜塔丽·波特曼	1212
张东健	1208
丁丁	1206
萨顶顶	1206
王麟	1205
周传雄	1203
刘同	1192
蔡妍	1192
韩磊	1190
杨雪	1186
王蓉	1175
马里奥·毛瑞尔	1175
徐熙媛	1174
朱逢博	1162
保剑锋	1157
好妹妹乐队	1155
伍佰	1150
江珊	1150
曾之乔	1145
甄妮	1145
谢贤	1144
梁博	1143
胡宇威	1142
徐静蕾	1140
中岛美雪	1137
叶世荣	1133
叶世荣	1133
宝儿	1132
滨崎步	1132
武艺	1130
毕夏	1129
刘循子墨	1127
杨恭如	1126
郑靓歆	1123
陈嘉桦	1119
常香玉	1114
郑多彬	1111
安吉丽娜·朱莉	1110
爱莉安娜·格兰德	1109
李安	1106
米拉·乔沃维奇	1103
杨千嬅	1099
蔡国庆	1099
吴青峰	1097
柴静	1090
周海媚	1089
傅程鹏	1087
徐申东	1087
花儿乐队	1087
段奕宏	1085
李东健	1084
吴镇宇	1083
陈怡蓉	1083
王金金	1082
刘荷娜	1076
山田凉介	1071
杨丽菁	1071
欧阳菲菲	1071
丹尼尔·雷德克里夫	1070
关智斌	1066
王霏霏	1066
吴克群	1064
林子祥	1064
柏原崇	1060
王刚	1055
郑中基	1053
热依扎	1049
前田敦子	1047
李云迪	1045
王媛可	1045
胡军	1035
金亚荣	1033
牛东文	1028
辛芷蕾	1027
付梦妮	1026
晋久	1022
李恩珠	1018
毛宁	1017
郭羡妮	1017
石原里美	1014
蒙嘉慧	1014
梁咏琪	1010
刘美麟	1001
夏凡	998
潘之琳	993
徐怀钰	989
曾华倩	989
杨祐宁	988
谢天华	985
彼特·丁拉基	978
陶虹	977
母其弥雅	976
本尼迪克特·康伯巴奇	972
李曼	968
聂远	965
戚蓝尹	964
黄安	964
金志文	959
朴叙俊	958
广末凉子	957
费雯·丽	957
黄家强	954
李代沫	951
郁可唯	951
徐康俊	949
师洋	948
李颖	946
贡米	946
奥兰多·布鲁姆	945
孔垂楠	944
曾宝仪	944
姜大成	942
范文芳	939
陈法蓉	938
绫濑遥	935
茜拉	934
李美妍	933
刘明湘	929
关诗敏	928
胡夏	927
婷婷	926
罗文	920
毛林林	917
郑国霖	917
金铭	909
杭天琪	908
张倬闻	906
汤加丽	904
张恒	903
孙楠	901
曾舜晞	900
费翔	896
李斯丹妮	894
李炜	893
水木年华	890
查理兹·塞隆	887
黄子华	880
全宝蓝	878
孙耀威	875
张芸京	873
王传一	872
具荷拉	871
安又琪	869
辛晓琪	865
猫王	864
维多利亚	864
苏醒	861
三浦春马	860
胡兵	860
金瑟祺	858
刘木子	853
柏木由纪	852
郑秀文	851
汪明荃	850
杨采妮	846
尹普美	844
张敬轩	844
曹曦文	844
黄韵玲	844
安希妍	841
江铠同	841
文颂娴	840
